# Time ............. [Fri Jul 14 11:11:34 2017]
# resourcesInitial . [100]
# areaPatch ........ [50]
# agentCount ....... [1]
# consumptionRateMax [50]
# areaForaging ..... [1]
# maxTimesteps ..... [200]
# =========================================================

# Time    Density    A_Eff      R_ga       R_gt       Remain     Foraged    Percentage
0000      000.000    000.000    000.000    000.000    100.000    000.000    000.000
0001      002.000    001.000    002.000    002.000    098.000    002.000    0.02000
0002      001.960    001.000    001.960    001.960    096.040    003.960    0.03960
0003      001.921    001.000    001.921    001.921    094.119    005.881    0.05881
0004      001.882    001.000    001.882    001.882    092.237    007.763    0.07763
0005      001.845    001.000    001.845    001.845    090.392    009.608    0.09608
0006      001.808    001.000    001.808    001.808    088.584    011.416    0.11416
0007      001.772    001.000    001.772    001.772    086.813    013.187    0.13187
0008      001.736    001.000    001.736    001.736    085.076    014.924    0.14924
0009      001.702    001.000    001.702    001.702    083.375    016.625    0.16625
0010      001.667    001.000    001.667    001.667    081.707    018.293    0.18293
0011      001.634    001.000    001.634    001.634    080.073    019.927    0.19927
0012      001.601    001.000    001.601    001.601    078.472    021.528    0.21528
0013      001.569    001.000    001.569    001.569    076.902    023.098    0.23098
0014      001.538    001.000    001.538    001.538    075.364    024.636    0.24636
0015      001.507    001.000    001.507    001.507    073.857    026.143    0.26143
0016      001.477    001.000    001.477    001.477    072.380    027.620    0.27620
0017      001.448    001.000    001.448    001.448    070.932    029.068    0.29068
0018      001.419    001.000    001.419    001.419    069.514    030.486    0.30486
0019      001.390    001.000    001.390    001.390    068.123    031.877    0.31877
0020      001.362    001.000    001.362    001.362    066.761    033.239    0.33239
0021      001.335    001.000    001.335    001.335    065.426    034.574    0.34574
0022      001.309    001.000    001.309    001.309    064.117    035.883    0.35883
0023      001.282    001.000    001.282    001.282    062.835    037.165    0.37165
0024      001.257    001.000    001.257    001.257    061.578    038.422    0.38422
0025      001.232    001.000    001.232    001.232    060.346    039.654    0.39654
0026      001.207    001.000    001.207    001.207    059.140    040.860    0.40860
0027      001.183    001.000    001.183    001.183    057.957    042.043    0.42043
0028      001.159    001.000    001.159    001.159    056.798    043.202    0.43202
0029      001.136    001.000    001.136    001.136    055.662    044.338    0.44338
0030      001.113    001.000    001.113    001.113    054.548    045.452    0.45452
0031      001.091    001.000    001.091    001.091    053.457    046.543    0.46543
0032      001.069    001.000    001.069    001.069    052.388    047.612    0.47612
0033      001.048    001.000    001.048    001.048    051.341    048.659    0.48659
0034      001.027    001.000    001.027    001.027    050.314    049.686    0.49686
0035      001.006    001.000    001.006    001.006    049.307    050.693    0.50693
0036      000.986    001.000    000.986    000.986    048.321    051.679    0.51679
