# Time ............. [Fri Jul 14 11:12:51 2017]
# resourcesInitial . [100]
# areaPatch ........ [10]
# agentCount ....... [1]
# consumptionRateMax [50]
# areaForaging ..... [1]
# maxTimesteps ..... [200]
# =========================================================

# Time    Density    A_Eff      R_ga       R_gt       Remain     Foraged    Percentage
0000      000.000    000.000    000.000    000.000    100.000    000.000    000.000
0001      010.000    001.000    010.000    010.000    090.000    010.000    0.10000
0002      009.000    001.000    009.000    009.000    081.000    019.000    0.19000
0003      008.100    001.000    008.100    008.100    072.900    027.100    0.27100
0004      007.290    001.000    007.290    007.290    065.610    034.390    0.34390
0005      006.561    001.000    006.561    006.561    059.049    040.951    0.40951
0006      005.905    001.000    005.905    005.905    053.144    046.856    0.46856
0007      005.314    001.000    005.314    005.314    047.830    052.170    0.52170
0008      004.783    001.000    004.783    004.783    043.047    056.953    0.56953
0009      004.305    001.000    004.305    004.305    038.742    061.258    0.61258
0010      003.874    001.000    003.874    003.874    034.868    065.132    0.65132
0011      003.487    001.000    003.487    003.487    031.381    068.619    0.68619
0012      003.138    001.000    003.138    003.138    028.243    071.757    0.71757
0013      002.824    001.000    002.824    002.824    025.419    074.581    0.74581
0014      002.542    001.000    002.542    002.542    022.877    077.123    0.77123
0015      002.288    001.000    002.288    002.288    020.589    079.411    0.79411
0016      002.059    001.000    002.059    002.059    018.530    081.470    0.81470
0017      001.853    001.000    001.853    001.853    016.677    083.323    0.83323
0018      001.668    001.000    001.668    001.668    015.009    084.991    0.84991
0019      001.501    001.000    001.501    001.501    013.509    086.491    0.86491
0020      001.351    001.000    001.351    001.351    012.158    087.842    0.87842
0021      001.216    001.000    001.216    001.216    010.942    089.058    0.89058
0022      001.094    001.000    001.094    001.094    009.848    090.152    0.90152
0023      000.985    001.000    000.985    000.985    008.863    091.137    0.91137
0024      000.886    001.000    000.886    000.886    007.977    092.023    0.92023
0025      000.798    001.000    000.798    000.798    007.179    092.821    0.92821
0026      000.718    001.000    000.718    000.718    006.461    093.539    0.93539
0027      000.646    001.000    000.646    000.646    005.815    094.185    0.94185
0028      000.581    001.000    000.581    000.581    005.233    094.767    0.94767
0029      000.523    001.000    000.523    000.523    004.710    095.290    0.95290
0030      000.471    001.000    000.471    000.471    004.239    095.761    0.95761
0031      000.424    001.000    000.424    000.424    003.815    096.185    0.96185
0032      000.382    001.000    000.382    000.382    003.434    096.566    0.96566
0033      000.343    001.000    000.343    000.343    003.090    096.910    0.96910
0034      000.309    001.000    000.309    000.309    002.781    097.219    0.97219
0035      000.278    001.000    000.278    000.278    002.503    097.497    0.97497
0036      000.250    001.000    000.250    000.250    002.253    097.747    0.97747
0037      000.225    001.000    000.225    000.225    002.028    097.972    0.97972
0038      000.203    001.000    000.203    000.203    001.825    098.175    0.98175
0039      000.182    001.000    000.182    000.182    001.642    098.358    0.98358
0040      000.164    001.000    000.164    000.164    001.478    098.522    0.98522
0041      000.148    001.000    000.148    000.148    001.330    098.670    0.98670
0042      000.133    001.000    000.133    000.133    001.197    098.803    0.98803
0043      000.120    001.000    000.120    000.120    001.078    098.922    0.98922
0044      000.108    001.000    000.108    000.108    000.970    099.030    0.99030
0045      000.097    001.000    000.097    000.097    000.873    099.127    0.99127
0046      000.087    001.000    000.087    000.087    000.786    099.214    0.99214
0047      000.079    001.000    000.079    000.079    000.707    099.293    0.99293
0048      000.071    001.000    000.071    000.071    000.636    099.364    0.99364
0049      000.064    001.000    000.064    000.064    000.573    099.427    0.99427
0050      000.057    001.000    000.057    000.057    000.515    099.485    0.99485
0051      000.052    001.000    000.052    000.052    000.464    099.536    0.99536
0052      000.046    001.000    000.046    000.046    000.417    099.583    0.99583
0053      000.042    001.000    000.042    000.042    000.376    099.624    0.99624
0054      000.038    001.000    000.038    000.038    000.338    099.662    0.99662
0055      000.034    001.000    000.034    000.034    000.304    099.696    0.99696
0056      000.030    001.000    000.030    000.030    000.274    099.726    0.99726
0057      000.027    001.000    000.027    000.027    000.247    099.753    0.99753
0058      000.025    001.000    000.025    000.025    000.222    099.778    0.99778
0059      000.022    001.000    000.022    000.022    000.200    099.800    0.99800
0060      000.020    001.000    000.020    000.020    000.180    099.820    0.99820
0061      000.018    001.000    000.018    000.018    000.162    099.838    0.99838
