# Time ............. [Fri Jul 14 11:13:15 2017]
# resourcesInitial . [100]
# areaPatch ........ [30]
# agentCount ....... [1]
# consumptionRateMax [50]
# areaForaging ..... [1]
# maxTimesteps ..... [200]
# =========================================================

# Time    Density    A_Eff      R_ga       R_gt       Remain     Foraged    Percentage
0000      000.000    000.000    000.000    000.000    100.000    000.000    000.000
0001      003.333    001.000    003.333    003.333    096.667    003.333    0.03333
0002      003.222    001.000    003.222    003.222    093.444    006.556    0.06556
0003      003.115    001.000    003.115    003.115    090.330    009.670    0.09670
0004      003.011    001.000    003.011    003.011    087.319    012.681    0.12681
0005      002.911    001.000    002.911    002.911    084.408    015.592    0.15592
0006      002.814    001.000    002.814    002.814    081.594    018.406    0.18406
0007      002.720    001.000    002.720    002.720    078.875    021.125    0.21125
0008      002.629    001.000    002.629    002.629    076.245    023.755    0.23755
0009      002.542    001.000    002.542    002.542    073.704    026.296    0.26296
0010      002.457    001.000    002.457    002.457    071.247    028.753    0.28753
0011      002.375    001.000    002.375    002.375    068.872    031.128    0.31128
0012      002.296    001.000    002.296    002.296    066.576    033.424    0.33424
0013      002.219    001.000    002.219    002.219    064.357    035.643    0.35643
0014      002.145    001.000    002.145    002.145    062.212    037.788    0.37788
0015      002.074    001.000    002.074    002.074    060.138    039.862    0.39862
0016      002.005    001.000    002.005    002.005    058.134    041.866    0.41866
0017      001.938    001.000    001.938    001.938    056.196    043.804    0.43804
0018      001.873    001.000    001.873    001.873    054.323    045.677    0.45677
0019      001.811    001.000    001.811    001.811    052.512    047.488    0.47488
0020      001.750    001.000    001.750    001.750    050.762    049.238    0.49238
0021      001.692    001.000    001.692    001.692    049.069    050.931    0.50931
0022      001.636    001.000    001.636    001.636    047.434    052.566    0.52566
0023      001.581    001.000    001.581    001.581    045.853    054.147    0.54147
0024      001.528    001.000    001.528    001.528    044.324    055.676    0.55676
0025      001.477    001.000    001.477    001.477    042.847    057.153    0.57153
0026      001.428    001.000    001.428    001.428    041.419    058.581    0.58581
0027      001.381    001.000    001.381    001.381    040.038    059.962    0.59962
0028      001.335    001.000    001.335    001.335    038.703    061.297    0.61297
0029      001.290    001.000    001.290    001.290    037.413    062.587    0.62587
0030      001.247    001.000    001.247    001.247    036.166    063.834    0.63834
0031      001.206    001.000    001.206    001.206    034.961    065.039    0.65039
0032      001.165    001.000    001.165    001.165    033.795    066.205    0.66205
0033      001.127    001.000    001.127    001.127    032.669    067.331    0.67331
0034      001.089    001.000    001.089    001.089    031.580    068.420    0.68420
0035      001.053    001.000    001.053    001.053    030.527    069.473    0.69473
0036      001.018    001.000    001.018    001.018    029.510    070.490    0.70490
0037      000.984    001.000    000.984    000.984    028.526    071.474    0.71474
0038      000.951    001.000    000.951    000.951    027.575    072.425    0.72425
0039      000.919    001.000    000.919    000.919    026.656    073.344    0.73344
0040      000.889    001.000    000.889    000.889    025.767    074.233    0.74233
0041      000.859    001.000    000.859    000.859    024.908    075.092    0.75092
0042      000.830    001.000    000.830    000.830    024.078    075.922    0.75922
0043      000.803    001.000    000.803    000.803    023.276    076.724    0.76724
0044      000.776    001.000    000.776    000.776    022.500    077.500    0.77500
0045      000.750    001.000    000.750    000.750    021.750    078.250    0.78250
0046      000.725    001.000    000.725    000.725    021.025    078.975    0.78975
0047      000.701    001.000    000.701    000.701    020.324    079.676    0.79676
0048      000.677    001.000    000.677    000.677    019.646    080.354    0.80354
0049      000.655    001.000    000.655    000.655    018.992    081.008    0.81008
0050      000.633    001.000    000.633    000.633    018.358    081.642    0.81642
0051      000.612    001.000    000.612    000.612    017.747    082.253    0.82253
