# Time ............. [Fri Jul 14 11:14:06 2017]
# resourcesInitial . [50]
# areaPatch ........ [50]
# agentCount ....... [1]
# consumptionRateMax [50]
# areaForaging ..... [1]
# maxTimesteps ..... [200]
# =========================================================

# Time    Density    A_Eff      R_ga       R_gt       Remain     Foraged    Percentage
0000      000.000    000.000    000.000    000.000    050.000    000.000    000.000
0001      001.000    001.000    001.000    001.000    049.000    001.000    0.02000
0002      000.980    001.000    000.980    000.980    048.020    001.980    0.03960
0003      000.960    001.000    000.960    000.960    047.060    002.940    0.05881
0004      000.941    001.000    000.941    000.941    046.118    003.882    0.07763
0005      000.922    001.000    000.922    000.922    045.196    004.804    0.09608
0006      000.904    001.000    000.904    000.904    044.292    005.708    0.11416
0007      000.886    001.000    000.886    000.886    043.406    006.594    0.13187
0008      000.868    001.000    000.868    000.868    042.538    007.462    0.14924
0009      000.851    001.000    000.851    000.851    041.687    008.313    0.16625
0010      000.834    001.000    000.834    000.834    040.854    009.146    0.18293
0011      000.817    001.000    000.817    000.817    040.037    009.963    0.19927
0012      000.801    001.000    000.801    000.801    039.236    010.764    0.21528
0013      000.785    001.000    000.785    000.785    038.451    011.549    0.23098
0014      000.769    001.000    000.769    000.769    037.682    012.318    0.24636
0015      000.754    001.000    000.754    000.754    036.928    013.072    0.26143
0016      000.739    001.000    000.739    000.739    036.190    013.810    0.27620
0017      000.724    001.000    000.724    000.724    035.466    014.534    0.29068
0018      000.709    001.000    000.709    000.709    034.757    015.243    0.30486
0019      000.695    001.000    000.695    000.695    034.062    015.938    0.31877
0020      000.681    001.000    000.681    000.681    033.380    016.620    0.33239
0021      000.668    001.000    000.668    000.668    032.713    017.287    0.34574
0022      000.654    001.000    000.654    000.654    032.059    017.941    0.35883
0023      000.641    001.000    000.641    000.641    031.417    018.583    0.37165
0024      000.628    001.000    000.628    000.628    030.789    019.211    0.38422
0025      000.616    001.000    000.616    000.616    030.173    019.827    0.39654
0026      000.603    001.000    000.603    000.603    029.570    020.430    0.40860
0027      000.591    001.000    000.591    000.591    028.978    021.022    0.42043
0028      000.580    001.000    000.580    000.580    028.399    021.601    0.43202
0029      000.568    001.000    000.568    000.568    027.831    022.169    0.44338
0030      000.557    001.000    000.557    000.557    027.274    022.726    0.45452
0031      000.545    001.000    000.545    000.545    026.729    023.271    0.46543
0032      000.535    001.000    000.535    000.535    026.194    023.806    0.47612
0033      000.524    001.000    000.524    000.524    025.670    024.330    0.48659
0034      000.513    001.000    000.513    000.513    025.157    024.843    0.49686
0035      000.503    001.000    000.503    000.503    024.654    025.346    0.50693
0036      000.493    001.000    000.493    000.493    024.161    025.839    0.51679
0037      000.483    001.000    000.483    000.483    023.677    026.323    0.52645
0038      000.474    001.000    000.474    000.474    023.204    026.796    0.53592
0039      000.464    001.000    000.464    000.464    022.740    027.260    0.54520
0040      000.455    001.000    000.455    000.455    022.285    027.715    0.55430
0041      000.446    001.000    000.446    000.446    021.839    028.161    0.56321
0042      000.437    001.000    000.437    000.437    021.403    028.597    0.57195
0043      000.428    001.000    000.428    000.428    020.974    029.026    0.58051
0044      000.419    001.000    000.419    000.419    020.555    029.445    0.58890
0045      000.411    001.000    000.411    000.411    020.144    029.856    0.59712
0046      000.403    001.000    000.403    000.403    019.741    030.259    0.60518
0047      000.395    001.000    000.395    000.395    019.346    030.654    0.61308
0048      000.387    001.000    000.387    000.387    018.959    031.041    0.62081
0049      000.379    001.000    000.379    000.379    018.580    031.420    0.62840
0050      000.372    001.000    000.372    000.372    018.208    031.792    0.63583
0051      000.364    001.000    000.364    000.364    017.844    032.156    0.64311
0052      000.357    001.000    000.357    000.357    017.487    032.513    0.65025
0053      000.350    001.000    000.350    000.350    017.138    032.862    0.65725
0054      000.343    001.000    000.343    000.343    016.795    033.205    0.66410
0055      000.336    001.000    000.336    000.336    016.459    033.541    0.67082
0056      000.329    001.000    000.329    000.329    016.130    033.870    0.67740
0057      000.323    001.000    000.323    000.323    015.807    034.193    0.68386
0058      000.316    001.000    000.316    000.316    015.491    034.509    0.69018
0059      000.310    001.000    000.310    000.310    015.181    034.819    0.69637
0060      000.304    001.000    000.304    000.304    014.878    035.122    0.70245
0061      000.298    001.000    000.298    000.298    014.580    035.420    0.70840
0062      000.292    001.000    000.292    000.292    014.289    035.711    0.71423
0063      000.286    001.000    000.286    000.286    014.003    035.997    0.71995
0064      000.280    001.000    000.280    000.280    013.723    036.277    0.72555
0065      000.274    001.000    000.274    000.274    013.448    036.552    0.73104
0066      000.269    001.000    000.269    000.269    013.179    036.821    0.73641
