# Time ............. [Fri Jul 14 11:30:26 2017]
# resourcesInitial . [50]
# areaPatch ........ [50]
# agentCount ....... [10]
# consumptionRateMax [50]
# areaForaging ..... [1]
# maxTimesteps ..... [200]
# =========================================================

# Time    Density    A_Eff      R_ga       R_gt       Remain     Foraged    Percentage
0000      000.000    000.000    000.000    000.000    050.000    000.000    000.000
0001      001.000    001.000    001.000    010.000    040.000    010.000    0.20000
0002      000.800    001.000    000.800    008.000    032.000    018.000    0.36000
0003      000.640    001.000    000.640    006.400    025.600    024.400    0.48800
0004      000.512    001.000    000.512    005.120    020.480    029.520    0.59040
0005      000.410    001.000    000.410    004.096    016.384    033.616    0.67232
0006      000.328    001.000    000.328    003.277    013.107    036.893    0.73786
0007      000.262    001.000    000.262    002.621    010.486    039.514    0.79028
0008      000.210    001.000    000.210    002.097    008.389    041.611    0.83223
0009      000.168    001.000    000.168    001.678    006.711    043.289    0.86578
0010      000.134    001.000    000.134    001.342    005.369    044.631    0.89263
0011      000.107    001.000    000.107    001.074    004.295    045.705    0.91410
0012      000.086    001.000    000.086    000.859    003.436    046.564    0.93128
0013      000.069    001.000    000.069    000.687    002.749    047.251    0.94502
0014      000.055    001.000    000.055    000.550    002.199    047.801    0.95602
0015      000.044    001.000    000.044    000.440    001.759    048.241    0.96482
0016      000.035    001.000    000.035    000.352    001.407    048.593    0.97185
0017      000.028    001.000    000.028    000.281    001.126    048.874    0.97748
0018      000.023    001.000    000.023    000.225    000.901    049.099    0.98199
0019      000.018    001.000    000.018    000.180    000.721    049.279    0.98559
0020      000.014    001.000    000.014    000.144    000.576    049.424    0.98847
0021      000.012    001.000    000.012    000.115    000.461    049.539    0.99078
0022      000.009    001.000    000.009    000.092    000.369    049.631    0.99262
0023      000.007    001.000    000.007    000.074    000.295    049.705    0.99410
0024      000.006    001.000    000.006    000.059    000.236    049.764    0.99528
0025      000.005    001.000    000.005    000.047    000.189    049.811    0.99622
0026      000.004    001.000    000.004    000.038    000.151    049.849    0.99698
0027      000.003    001.000    000.003    000.030    000.121    049.879    0.99758
0028      000.002    001.000    000.002    000.024    000.097    049.903    0.99807
0029      000.002    001.000    000.002    000.019    000.077    049.923    0.99845
0030      000.002    001.000    000.002    000.015    000.062    049.938    0.99876
0031      000.001    001.000    000.001    000.012    000.050    049.950    0.99901
0032      000.001    001.000    000.001    000.010    000.040    049.960    0.99921
0033      000.001    001.000    000.001    000.008    000.032    049.968    0.99937
0034      000.001    001.000    000.001    000.006    000.025    049.975    0.99949
0035      000.001    001.000    000.001    000.005    000.020    049.980    0.99959
0036      000.000    001.000    000.000    000.004    000.016    049.984    0.99968
0037      000.000    001.000    000.000    000.003    000.013    049.987    0.99974
0038      000.000    001.000    000.000    000.003    000.010    049.990    0.99979
0039      000.000    001.000    000.000    000.002    000.008    049.992    0.99983
0040      000.000    001.000    000.000    000.002    000.007    049.993    0.99987
0041      000.000    001.000    000.000    000.001    000.005    049.995    0.99989
0042      000.000    001.000    000.000    000.001    000.004    049.996    0.99991
