# Time ............. [Fri Jul 14 11:15:11 2017]
# resourcesInitial . [50]
# areaPatch ........ [50]
# agentCount ....... [2]
# consumptionRateMax [50]
# areaForaging ..... [1]
# maxTimesteps ..... [200]
# =========================================================

# Time    Density    A_Eff      R_ga       R_gt       Remain     Foraged    Percentage
0000      000.000    000.000    000.000    000.000    050.000    000.000    000.000
0001      001.000    001.000    001.000    002.000    048.000    002.000    0.04000
0002      000.960    001.000    000.960    001.920    046.080    003.920    0.07840
0003      000.922    001.000    000.922    001.843    044.237    005.763    0.11526
0004      000.885    001.000    000.885    001.769    042.467    007.533    0.15065
0005      000.849    001.000    000.849    001.699    040.769    009.231    0.18463
0006      000.815    001.000    000.815    001.631    039.138    010.862    0.21724
0007      000.783    001.000    000.783    001.566    037.572    012.428    0.24855
0008      000.751    001.000    000.751    001.503    036.069    013.931    0.27861
0009      000.721    001.000    000.721    001.443    034.627    015.373    0.30747
0010      000.693    001.000    000.693    001.385    033.242    016.758    0.33517
0011      000.665    001.000    000.665    001.330    031.912    018.088    0.36176
0012      000.638    001.000    000.638    001.276    030.635    019.365    0.38729
0013      000.613    001.000    000.613    001.225    029.410    020.590    0.41180
0014      000.588    001.000    000.588    001.176    028.234    021.766    0.43533
0015      000.565    001.000    000.565    001.129    027.104    022.896    0.45791
0016      000.542    001.000    000.542    001.084    026.020    023.980    0.47960
0017      000.520    001.000    000.520    001.041    024.979    025.021    0.50041
0018      000.500    001.000    000.500    000.999    023.980    026.020    0.52040
0019      000.480    001.000    000.480    000.959    023.021    026.979    0.53958
0020      000.460    001.000    000.460    000.921    022.100    027.900    0.55800
0021      000.442    001.000    000.442    000.884    021.216    028.784    0.57568
0022      000.424    001.000    000.424    000.849    020.367    029.633    0.59265
0023      000.407    001.000    000.407    000.815    019.553    030.447    0.60894
0024      000.391    001.000    000.391    000.782    018.771    031.229    0.62459
0025      000.375    001.000    000.375    000.751    018.020    031.980    0.63960
0026      000.360    001.000    000.360    000.721    017.299    032.701    0.65402
0027      000.346    001.000    000.346    000.692    016.607    033.393    0.66786
0028      000.332    001.000    000.332    000.664    015.943    034.057    0.68114
0029      000.319    001.000    000.319    000.638    015.305    034.695    0.69390
0030      000.306    001.000    000.306    000.612    014.693    035.307    0.70614
0031      000.294    001.000    000.294    000.588    014.105    035.895    0.71790
0032      000.282    001.000    000.282    000.564    013.541    036.459    0.72918
0033      000.271    001.000    000.271    000.542    012.999    037.001    0.74001
0034      000.260    001.000    000.260    000.520    012.479    037.521    0.75041
0035      000.250    001.000    000.250    000.499    011.980    038.020    0.76040
0036      000.240    001.000    000.240    000.479    011.501    038.499    0.76998
0037      000.230    001.000    000.230    000.460    011.041    038.959    0.77918
0038      000.221    001.000    000.221    000.442    010.599    039.401    0.78801
0039      000.212    001.000    000.212    000.424    010.175    039.825    0.79649
0040      000.204    001.000    000.204    000.407    009.768    040.232    0.80463
0041      000.195    001.000    000.195    000.391    009.378    040.622    0.81245
0042      000.188    001.000    000.188    000.375    009.002    040.998    0.81995
0043      000.180    001.000    000.180    000.360    008.642    041.358    0.82715
0044      000.173    001.000    000.173    000.346    008.297    041.703    0.83407
0045      000.166    001.000    000.166    000.332    007.965    042.035    0.84070
0046      000.159    001.000    000.159    000.319    007.646    042.354    0.84708
0047      000.153    001.000    000.153    000.306    007.340    042.660    0.85319
0048      000.147    001.000    000.147    000.294    007.047    042.953    0.85906
0049      000.141    001.000    000.141    000.282    006.765    043.235    0.86470
0050      000.135    001.000    000.135    000.271    006.494    043.506    0.87011
0051      000.130    001.000    000.130    000.260    006.235    043.765    0.87531
0052      000.125    001.000    000.125    000.249    005.985    044.015    0.88030
0053      000.120    001.000    000.120    000.239    005.746    044.254    0.88509
0054      000.115    001.000    000.115    000.230    005.516    044.484    0.88968
0055      000.110    001.000    000.110    000.221    005.295    044.705    0.89409
0056      000.106    001.000    000.106    000.212    005.083    044.917    0.89833
0057      000.102    001.000    000.102    000.203    004.880    045.120    0.90240
0058      000.098    001.000    000.098    000.195    004.685    045.315    0.90630
0059      000.094    001.000    000.094    000.187    004.498    045.502    0.91005
0060      000.090    001.000    000.090    000.180    004.318    045.682    0.91365
0061      000.086    001.000    000.086    000.173    004.145    045.855    0.91710
0062      000.083    001.000    000.083    000.166    003.979    046.021    0.92042
0063      000.080    001.000    000.080    000.159    003.820    046.180    0.92360
0064      000.076    001.000    000.076    000.153    003.667    046.333    0.92666
0065      000.073    001.000    000.073    000.147    003.520    046.480    0.92959
0066      000.070    001.000    000.070    000.141    003.380    046.620    0.93241
0067      000.068    001.000    000.068    000.135    003.244    046.756    0.93511
0068      000.065    001.000    000.065    000.130    003.115    046.885    0.93771
0069      000.062    001.000    000.062    000.125    002.990    047.010    0.94020
0070      000.060    001.000    000.060    000.120    002.870    047.130    0.94259
0071      000.057    001.000    000.057    000.115    002.756    047.244    0.94489
0072      000.055    001.000    000.055    000.110    002.645    047.355    0.94709
0073      000.053    001.000    000.053    000.106    002.540    047.460    0.94921
0074      000.051    001.000    000.051    000.102    002.438    047.562    0.95124
0075      000.049    001.000    000.049    000.098    002.341    047.659    0.95319
0076      000.047    001.000    000.047    000.094    002.247    047.753    0.95506
0077      000.045    001.000    000.045    000.090    002.157    047.843    0.95686
0078      000.043    001.000    000.043    000.086    002.071    047.929    0.95859
0079      000.041    001.000    000.041    000.083    001.988    048.012    0.96024
0080      000.040    001.000    000.040    000.080    001.908    048.092    0.96183
0081      000.038    001.000    000.038    000.076    001.832    048.168    0.96336
0082      000.037    001.000    000.037    000.073    001.759    048.241    0.96482
0083      000.035    001.000    000.035    000.070    001.688    048.312    0.96623
0084      000.034    001.000    000.034    000.068    001.621    048.379    0.96758
0085      000.032    001.000    000.032    000.065    001.556    048.444    0.96888
0086      000.031    001.000    000.031    000.062    001.494    048.506    0.97012
0087      000.030    001.000    000.030    000.060    001.434    048.566    0.97132
0088      000.029    001.000    000.029    000.057    001.377    048.623    0.97247
0089      000.028    001.000    000.028    000.055    001.322    048.678    0.97357
0090      000.026    001.000    000.026    000.053    001.269    048.731    0.97462
0091      000.025    001.000    000.025    000.051    001.218    048.782    0.97564
0092      000.024    001.000    000.024    000.049    001.169    048.831    0.97661
0093      000.023    001.000    000.023    000.047    001.123    048.877    0.97755
0094      000.022    001.000    000.022    000.045    001.078    048.922    0.97845
0095      000.022    001.000    000.022    000.043    001.035    048.965    0.97931
0096      000.021    001.000    000.021    000.041    000.993    049.007    0.98014
0097      000.020    001.000    000.020    000.040    000.953    049.047    0.98093
0098      000.019    001.000    000.019    000.038    000.915    049.085    0.98169
0099      000.018    001.000    000.018    000.037    000.879    049.121    0.98243
0100      000.018    001.000    000.018    000.035    000.844    049.156    0.98313
0101      000.017    001.000    000.017    000.034    000.810    049.190    0.98380
0102      000.016    001.000    000.016    000.032    000.777    049.223    0.98445
0103      000.016    001.000    000.016    000.031    000.746    049.254    0.98507
0104      000.015    001.000    000.015    000.030    000.716    049.284    0.98567
0105      000.014    001.000    000.014    000.029    000.688    049.312    0.98624
0106      000.014    001.000    000.014    000.028    000.660    049.340    0.98679
0107      000.013    001.000    000.013    000.026    000.634    049.366    0.98732
0108      000.013    001.000    000.013    000.025    000.609    049.391    0.98783
0109      000.012    001.000    000.012    000.024    000.584    049.416    0.98832
0110      000.012    001.000    000.012    000.023    000.561    049.439    0.98878
0111      000.011    001.000    000.011    000.022    000.538    049.462    0.98923
0112      000.011    001.000    000.011    000.022    000.517    049.483    0.98966
0113      000.010    001.000    000.010    000.021    000.496    049.504    0.99008
0114      000.010    001.000    000.010    000.020    000.476    049.524    0.99047
0115      000.010    001.000    000.010    000.019    000.457    049.543    0.99085
0116      000.009    001.000    000.009    000.018    000.439    049.561    0.99122
0117      000.009    001.000    000.009    000.018    000.421    049.579    0.99157
0118      000.008    001.000    000.008    000.017    000.405    049.595    0.99191
0119      000.008    001.000    000.008    000.016    000.388    049.612    0.99223
0120      000.008    001.000    000.008    000.016    000.373    049.627    0.99254
0121      000.007    001.000    000.007    000.015    000.358    049.642    0.99284
0122      000.007    001.000    000.007    000.014    000.344    049.656    0.99313
0123      000.007    001.000    000.007    000.014    000.330    049.670    0.99340
0124      000.007    001.000    000.007    000.013    000.317    049.683    0.99367
0125      000.006    001.000    000.006    000.013    000.304    049.696    0.99392
0126      000.006    001.000    000.006    000.012    000.292    049.708    0.99416
0127      000.006    001.000    000.006    000.012    000.280    049.720    0.99440
0128      000.006    001.000    000.006    000.011    000.269    049.731    0.99462
0129      000.005    001.000    000.005    000.011    000.258    049.742    0.99484
0130      000.005    001.000    000.005    000.010    000.248    049.752    0.99504
0131      000.005    001.000    000.005    000.010    000.238    049.762    0.99524
0132      000.005    001.000    000.005    000.010    000.228    049.772    0.99543
0133      000.005    001.000    000.005    000.009    000.219    049.781    0.99561
0134      000.004    001.000    000.004    000.009    000.211    049.789    0.99579
0135      000.004    001.000    000.004    000.008    000.202    049.798    0.99596
0136      000.004    001.000    000.004    000.008    000.194    049.806    0.99612
0137      000.004    001.000    000.004    000.008    000.186    049.814    0.99627
0138      000.004    001.000    000.004    000.007    000.179    049.821    0.99642
0139      000.004    001.000    000.004    000.007    000.172    049.828    0.99657
0140      000.003    001.000    000.003    000.007    000.165    049.835    0.99670
0141      000.003    001.000    000.003    000.007    000.158    049.842    0.99684
0142      000.003    001.000    000.003    000.006    000.152    049.848    0.99696
0143      000.003    001.000    000.003    000.006    000.146    049.854    0.99708
0144      000.003    001.000    000.003    000.006    000.140    049.860    0.99720
0145      000.003    001.000    000.003    000.006    000.134    049.866    0.99731
0146      000.003    001.000    000.003    000.005    000.129    049.871    0.99742
0147      000.003    001.000    000.003    000.005    000.124    049.876    0.99752
0148      000.002    001.000    000.002    000.005    000.119    049.881    0.99762
0149      000.002    001.000    000.002    000.005    000.114    049.886    0.99772
0150      000.002    001.000    000.002    000.005    000.110    049.890    0.99781
0151      000.002    001.000    000.002    000.004    000.105    049.895    0.99790
0152      000.002    001.000    000.002    000.004    000.101    049.899    0.99798
0153      000.002    001.000    000.002    000.004    000.097    049.903    0.99806
0154      000.002    001.000    000.002    000.004    000.093    049.907    0.99814
0155      000.002    001.000    000.002    000.004    000.089    049.911    0.99821
0156      000.002    001.000    000.002    000.004    000.086    049.914    0.99828
0157      000.002    001.000    000.002    000.003    000.082    049.918    0.99835
0158      000.002    001.000    000.002    000.003    000.079    049.921    0.99842
