# Time ............. [Fri Jul 14 11:14:29 2017]
# resourcesInitial . [50]
# areaPatch ........ [10]
# agentCount ....... [1]
# consumptionRateMax [50]
# areaForaging ..... [1]
# maxTimesteps ..... [200]
# =========================================================

# Time    Density    A_Eff      R_ga       R_gt       Remain     Foraged    Percentage
0000      000.000    000.000    000.000    000.000    050.000    000.000    000.000
0001      005.000    001.000    005.000    005.000    045.000    005.000    0.10000
0002      004.500    001.000    004.500    004.500    040.500    009.500    0.19000
0003      004.050    001.000    004.050    004.050    036.450    013.550    0.27100
0004      003.645    001.000    003.645    003.645    032.805    017.195    0.34390
0005      003.280    001.000    003.280    003.280    029.524    020.476    0.40951
0006      002.952    001.000    002.952    002.952    026.572    023.428    0.46856
0007      002.657    001.000    002.657    002.657    023.915    026.085    0.52170
0008      002.391    001.000    002.391    002.391    021.523    028.477    0.56953
0009      002.152    001.000    002.152    002.152    019.371    030.629    0.61258
0010      001.937    001.000    001.937    001.937    017.434    032.566    0.65132
0011      001.743    001.000    001.743    001.743    015.691    034.309    0.68619
0012      001.569    001.000    001.569    001.569    014.121    035.879    0.71757
0013      001.412    001.000    001.412    001.412    012.709    037.291    0.74581
0014      001.271    001.000    001.271    001.271    011.438    038.562    0.77123
0015      001.144    001.000    001.144    001.144    010.295    039.705    0.79411
0016      001.029    001.000    001.029    001.029    009.265    040.735    0.81470
0017      000.927    001.000    000.927    000.927    008.339    041.661    0.83323
0018      000.834    001.000    000.834    000.834    007.505    042.495    0.84991
0019      000.750    001.000    000.750    000.750    006.754    043.246    0.86491
0020      000.675    001.000    000.675    000.675    006.079    043.921    0.87842
0021      000.608    001.000    000.608    000.608    005.471    044.529    0.89058
0022      000.547    001.000    000.547    000.547    004.924    045.076    0.90152
0023      000.492    001.000    000.492    000.492    004.431    045.569    0.91137
0024      000.443    001.000    000.443    000.443    003.988    046.012    0.92023
0025      000.399    001.000    000.399    000.399    003.589    046.411    0.92821
0026      000.359    001.000    000.359    000.359    003.231    046.769    0.93539
0027      000.323    001.000    000.323    000.323    002.907    047.093    0.94185
0028      000.291    001.000    000.291    000.291    002.617    047.383    0.94767
0029      000.262    001.000    000.262    000.262    002.355    047.645    0.95290
0030      000.236    001.000    000.236    000.236    002.120    047.880    0.95761
0031      000.212    001.000    000.212    000.212    001.908    048.092    0.96185
0032      000.191    001.000    000.191    000.191    001.717    048.283    0.96566
0033      000.172    001.000    000.172    000.172    001.545    048.455    0.96910
0034      000.155    001.000    000.155    000.155    001.391    048.609    0.97219
0035      000.139    001.000    000.139    000.139    001.252    048.748    0.97497
0036      000.125    001.000    000.125    000.125    001.126    048.874    0.97747
0037      000.113    001.000    000.113    000.113    001.014    048.986    0.97972
0038      000.101    001.000    000.101    000.101    000.912    049.088    0.98175
0039      000.091    001.000    000.091    000.091    000.821    049.179    0.98358
0040      000.082    001.000    000.082    000.082    000.739    049.261    0.98522
0041      000.074    001.000    000.074    000.074    000.665    049.335    0.98670
0042      000.067    001.000    000.067    000.067    000.599    049.401    0.98803
0043      000.060    001.000    000.060    000.060    000.539    049.461    0.98922
0044      000.054    001.000    000.054    000.054    000.485    049.515    0.99030
0045      000.048    001.000    000.048    000.048    000.436    049.564    0.99127
0046      000.044    001.000    000.044    000.044    000.393    049.607    0.99214
0047      000.039    001.000    000.039    000.039    000.353    049.647    0.99293
0048      000.035    001.000    000.035    000.035    000.318    049.682    0.99364
0049      000.032    001.000    000.032    000.032    000.286    049.714    0.99427
0050      000.029    001.000    000.029    000.029    000.258    049.742    0.99485
0051      000.026    001.000    000.026    000.026    000.232    049.768    0.99536
